key	scope	ko	en
charging.card.edit.address	charging	수령 주소	Delivery Address
charging.card.edit.address.val	charging	서울 강남구 테헤란로 152	152 Teheran-ro, Gangnam-gu, Seoul
charging.card.edit.basic.title	charging	기본 정보	Basic Information
charging.card.edit.bc.current	charging	카드 정보 수정	Edit Card Info
charging.card.edit.btn.add	charging	+ 결제 수단 추가	+ Add Payment Method
charging.card.edit.btn.cancel	charging	취소	Cancel
charging.card.edit.btn.change	charging	변경	Change
charging.card.edit.btn.reset	charging	초기화	Reset
charging.card.edit.btn.save	charging	정보 저장	Save Changes
charging.card.edit.btn.savechanges	charging	변경 사항 저장	Save Changes
charging.card.edit.cardno	charging	회원카드 번호	Card Number
charging.card.edit.email	charging	이메일	Email
charging.card.edit.email.desc	charging	월 명세서 이메일 수신	Receive monthly statements via email
charging.card.edit.email.notify	charging	이메일 알림	Email Notification
charging.card.edit.h1	charging	카드 정보 수정	Edit Card Info
charging.card.edit.lead	charging	발급된 회원카드의 <strong>연락처·주소·결제 수단</strong>을 수정합니다.	Modify <strong>contact, address, payment</strong> of your issued card.
charging.card.edit.name.val	charging	홍길동	Hong Gildong
charging.card.edit.note.li	charging	이름·생년월일 변경은 본인인증 후 별도 신청	Name and date-of-birth changes require separate application after verification
charging.card.edit.note.li2	charging	주소 변경 시 등기우편물 수령 주소 자동 갱신	Address changes automatically update the registered-mail delivery address
charging.card.edit.note.li3	charging	결제 수단은 최대 3개까지 등록 가능	Up to 3 payment methods can be registered
charging.card.edit.note.title	charging	안내 사항	Notice
charging.card.edit.payment	charging	결제 방식	Payment Method
charging.card.edit.payment.ba	charging	계좌 자동이체	Bank Auto-Transfer
charging.card.edit.payment.cc	charging	신용카드 자동 결제	Credit Card Auto-Pay
charging.card.edit.payment.cc.val	charging	<strong>신한카드 9012</strong> · 자동이체 등록	<strong>Shinhan Card 9012</strong> · Auto-transfer registered
charging.card.edit.payment.date	charging	2026-03-15 등록	Registered 2026-03-15
charging.card.edit.payment.prep	charging	선불 충전 (포인트)	Prepaid (Points)
charging.card.edit.payment.title	charging	결제 수단	Payment Method
charging.card.edit.phone	charging	휴대전화	Mobile
charging.card.edit.sms	charging	SMS 알림	SMS Notification
charging.card.edit.sms.deny	charging	수신 거부	Decline
charging.card.edit.sms.desc	charging	결제·이용 내역 SMS 수신	Receive payment/usage notifications via SMS
charging.card.edit.sms.recv	charging	수신	Receive
charging.card.edit.title	charging	카드 정보 수정	Edit Card Info
charging.card.field.addr	charging	카드 수령 주소	Card Delivery Address
charging.card.field.addr.ph	charging	기본주소	Base address
charging.card.field.birth	charging	생년월일	Date of Birth
charging.card.field.car	charging	차량 번호	Vehicle Plate
charging.card.field.car.ph	charging	예) 12가 3456	e.g., 12가 3456
charging.card.field.detail.ph	charging	상세주소	Detail address
charging.card.field.email	charging	이메일	Email
charging.card.field.name	charging	성명	Name
charging.card.field.pay	charging	결제 방식	Payment Method
charging.card.field.phone	charging	휴대전화	Mobile Phone
charging.card.field.zip.btn	charging	주소 검색	Search Address
charging.card.field.zip.ph	charging	우편번호	Postal code
charging.card.hist.bc.current	charging	이용요금·명세서 조회	Usage & Statements
charging.card.hist.btn.allpdf	charging	전체 명세서 PDF	All Statements (PDF)
charging.card.hist.btn.excel	charging	Excel 다운로드	Download Excel
charging.card.hist.btn.monthly	charging	월별 통합 명세서	Monthly Integrated Statement
charging.card.hist.btn.reset	charging	초기화	Reset
charging.card.hist.btn.search	charging	조회	Search
charging.card.hist.h1	charging	이용요금·명세서 조회	Usage & Statements
charging.card.hist.lbl.op	charging	사업자	Operator
charging.card.hist.lbl.period	charging	조회 기간	Period
charging.card.hist.lbl.type	charging	충전 유형	Charging Type
charging.card.hist.lead	charging	월별 충전 이용 내역과 통합 명세서를 조회·다운로드합니다.	View and download monthly charging usage and integrated statements.
charging.card.hist.op.gsconnect	charging	GS커넥트	GS Connect
charging.card.hist.op.kepco	charging	한국전력	KEPCO
charging.card.hist.op.skSignet	charging	SK시그넷	SK Signet
charging.card.hist.period.3m	charging	최근 3개월	Last 3 months
charging.card.hist.period.6m	charging	최근 6개월	Last 6 months
charging.card.hist.period.y25	charging	2025년	2025
charging.card.hist.period.y26	charging	2026년	2026
charging.card.hist.row.r1	charging	<td>2026-05-08 09:14</td><td>세종청사 공영주차장</td><td>한국전력</td><td>급속 100kW</td><td>32.5 kWh</td><td>11,375원</td><td><a href="#" class="btn btn-text">PDF</a></td>	<td>2026-05-08 09:14</td><td>Sejong Gov. Public Parking</td><td>KEPCO</td><td>100kW Fast</td><td>32.5 kWh</td><td>KRW 11,375</td><td><a href="#" class="btn btn-text">PDF</a></td>
charging.card.hist.row.r2	charging	<td>2026-05-04 19:42</td><td>롯데마트 잠실점</td><td>SK시그넷</td><td>급속 50kW</td><td>24.1 kWh</td><td>9,158원</td><td><a href="#" class="btn btn-text">PDF</a></td>	<td>2026-05-04 19:42</td><td>Lotte Mart Jamsil</td><td>SK Signet</td><td>50kW Fast</td><td>24.1 kWh</td><td>KRW 9,158</td><td><a href="#" class="btn btn-text">PDF</a></td>
charging.card.hist.row.r3	charging	<td>2026-05-01 22:08</td><td>아파트 지하주차장</td><td>GS커넥트</td><td>완속 7kW</td><td>18.3 kWh</td><td>4,118원</td><td><a href="#" class="btn btn-text">PDF</a></td>	<td>2026-05-01 22:08</td><td>Apartment Underground</td><td>GS Connect</td><td>7kW Slow</td><td>18.3 kWh</td><td>KRW 4,118</td><td><a href="#" class="btn btn-text">PDF</a></td>
charging.card.hist.row.r4	charging	<td>2026-04-28 12:30</td><td>이마트 가양점</td><td>차지비</td><td>급속 100kW</td><td>28.7 kWh</td><td>10,045원</td><td><a href="#" class="btn btn-text">PDF</a></td>	<td>2026-04-28 12:30</td><td>E-Mart Gayang</td><td>ChargeBee</td><td>100kW Fast</td><td>28.7 kWh</td><td>KRW 10,045</td><td><a href="#" class="btn btn-text">PDF</a></td>
charging.card.hist.row.r5	charging	<td>2026-04-22 08:15</td><td>현대백화점 무역센터</td><td>한국전력</td><td>완속 11kW</td><td>24.8 kWh</td><td>7,884원</td><td><a href="#" class="btn btn-text">PDF</a></td>	<td>2026-04-22 08:15</td><td>Hyundai Dept. Trade Center</td><td>KEPCO</td><td>11kW Slow</td><td>24.8 kWh</td><td>KRW 7,884</td><td><a href="#" class="btn btn-text">PDF</a></td>
charging.card.hist.sum.cnt	charging	이번 달 충전 횟수	This Month Count
charging.card.hist.sum.cnt.unit	charging	회	
charging.card.hist.sum.month	charging	이번 달 이용금액	This Month Cost
charging.card.hist.sum.month.unit	charging	원	KRW
charging.card.hist.sum.points	charging	적립 포인트	Earned Points
charging.card.hist.sum.vol	charging	이번 달 충전량	This Month Volume
charging.card.hist.tbl.amount	charging	금액	Amount
charging.card.hist.tbl.dt	charging	일시	Date/Time
charging.card.hist.tbl.op	charging	사업자	Operator
charging.card.hist.tbl.station	charging	충전소	Station
charging.card.hist.tbl.stmt	charging	명세서	Statement
charging.card.hist.tbl.title	charging	이용 내역	Usage History
charging.card.hist.tbl.type	charging	유형	Type
charging.card.hist.tbl.vol	charging	충전량	Volume
charging.card.hist.type.all	charging	전체	All
charging.card.hist.type.fast	charging	급속	Fast
charging.card.hist.type.slow	charging	완속	Slow
charging.card.history.btn.download	charging	명세서 다운로드	Download Statement
charging.card.history.period.1y	charging	최근 1년	Last 1 year
charging.card.history.period.3m	charging	최근 3개월	Last 3 months
charging.card.history.period.6m	charging	최근 6개월	Last 6 months
charging.card.history.title	charging	최근 3개월 이용 내역	Last 3 Months Usage
charging.card.kpi.amt.label	charging	이번 달 충전량	This Month Charging Volume
charging.card.kpi.cnt.label	charging	이번 달 충전 횟수	This Month Charging Count
charging.card.kpi.cnt.unit	charging	회	
charging.card.kpi.fee.label	charging	이번 달 이용요금	This Month Charging Cost
charging.card.kpi.fee.unit	charging	원	KRW
charging.card.kpi.point.label	charging	적립 포인트	Earned Points
charging.card.lead	charging	회원카드 <strong>신청·발급조회·정보수정·이용요금·명세서·포인트</strong>까지 한 화면에서 통합 관리합니다.	Manage your membership card in one place: <strong>apply, check issuance, edit info, view fees, statements, and points</strong>.
charging.card.lead2	charging	전국 모든 공공·민간 충전소에서 사용 가능한 통합카드입니다. 로밍 수수료 없이 모든 사업자 충전기를 이용할 수 있습니다.	An integrated card usable at all public and private charging stations nationwide. Access all operators with no roaming fees.
charging.card.myinfo.brand	charging	ZERO EMISSION VEHICLE CARD	ZERO EMISSION VEHICLE CARD
charging.card.myinfo.expiry	charging	유효기간	Valid Through
charging.card.myinfo.h4	charging	내 카드 정보	My Card
charging.card.myinfo.holder	charging	홀더	Holder
charging.card.myinfo.lost	charging	분실 신고	Report Lost
charging.card.myinfo.reissue	charging	재발급	Reissue
charging.card.pay.bank	charging	계좌 자동이체	Auto Bank Transfer
charging.card.pay.credit	charging	신용카드 자동 결제	Auto Credit Card Payment
charging.card.pay.prepaid	charging	선불 충전 (포인트)	Prepaid (Points)
charging.card.point.alert.desc	charging	공공 충전소 2%, 민간 제휴 충전소 1.5% 적립. 유효기간은 적립일로부터 2년. 충전 결제 시 자동 우선 차감됩니다.	2% for public stations, 1.5% for affiliated private stations. Valid for 2 years from earning date. Auto-deducted first on charging payments.
charging.card.point.alert.title	charging	포인트 적립 안내	Point Earning Notice
charging.card.point.avail.label	charging	사용 가능 포인트	Available Points
charging.card.point.avail.note	charging	1P = 1원 (충전 시 자동 차감)	1P = KRW 1 (auto-deducted on charging)
charging.card.point.bc.current	charging	충전 포인트	Charging Points
charging.card.point.cat.all	charging	전체	All
charging.card.point.cat.earn	charging	적립	Earned
charging.card.point.cat.use	charging	사용	Used
charging.card.point.chip.earn	charging	적립	Earned
charging.card.point.chip.event	charging	이벤트	Event
charging.card.point.chip.use	charging	차감	Used
charging.card.point.expire	charging	소멸 예정 (6개월)	Expiring (6 months)
charging.card.point.guide	charging	1P = 1원 · 충전 결제 시 사용 가능<br>최소 사용 단위 500P	1P = KRW 1 · Usable for charging payments<br>Minimum usage: 500P
charging.card.point.guide.li1	charging	회원카드로 충전 결제 시 일정 금액이 포인트로 적립됩니다.	Points are earned on charging payments with the membership card.
charging.card.point.guide.li2	charging	적립된 포인트는 충전 결제 시 1P = 1원으로 사용할 수 있으며, 최소 사용 단위는 500P입니다.	Earned points can be used at 1P = KRW 1 for charging payments; minimum usage unit is 500P.
charging.card.point.guide.li3	charging	적립 비율 및 사용 정책은 한국환경공단 운영 기준에 따릅니다.	Earning rates and usage policies follow the Korea Environment Corporation operational standards.
charging.card.point.guide.li4	charging	유효 기간이 경과한 포인트는 자동으로 소멸됩니다.	Points expire automatically after the validity period.
charging.card.point.guide.title	charging	포인트 안내	Point Guide
charging.card.point.h1	charging	충전 포인트	Charging Points
charging.card.point.have	charging	보유 포인트	Point Balance
charging.card.point.have.note	charging	로그인 후 보유 포인트를 조회합니다.	Log in to view your balance.
charging.card.point.history.title	charging	포인트 적립·사용 내역	Point Earning/Usage History
charging.card.point.history.title2	charging	적립·사용 내역	Earning/Usage History
charging.card.point.lbl.cat	charging	구분	Category
charging.card.point.lead	charging	회원카드 이용 시 적립된 포인트 잔액과 적립·사용 내역을 조회합니다.	View your point balance and earning/usage history from card usage.
charging.card.point.month.earn	charging	이번 달 적립	This Month Earned
charging.card.point.month.use	charging	이번 달 사용	This Month Used
charging.card.point.row.p1	charging	<td>2026.04.22</td><td><span class="chip chip-success">적립</span></td><td>GS칼텍스 강남 충전</td><td class="num" style="color:var(--color-primary-700);">+170P</td>	<td>2026.04.22</td><td><span class="chip chip-success">Earned</span></td><td>GS Caltex Gangnam Charging</td><td class="num" style="color:var(--color-primary-700);">+170P</td>
charging.card.point.row.p2	charging	<td>2026.04.19</td><td><span class="chip chip-success">적립</span></td><td>자택 심야 충전</td><td class="num" style="color:var(--color-primary-700);">+47P</td>	<td>2026.04.19</td><td><span class="chip chip-success">Earned</span></td><td>Home night charging</td><td class="num" style="color:var(--color-primary-700);">+47P</td>
charging.card.point.row.p3	charging	<td>2026.04.17</td><td><span class="chip chip-success">적립</span></td><td>환경부 강남구청</td><td class="num" style="color:var(--color-primary-700);">+126P</td>	<td>2026.04.17</td><td><span class="chip chip-success">Earned</span></td><td>MCEE Gangnam-gu Office</td><td class="num" style="color:var(--color-primary-700);">+126P</td>
charging.card.point.row.p4	charging	<td>2026.04.14</td><td><span class="chip chip-success">적립</span></td><td>SK시그넷 대치 초급속</td><td class="num" style="color:var(--color-primary-700);">+395P</td>	<td>2026.04.14</td><td><span class="chip chip-success">Earned</span></td><td>SK Signet Daechi Ultra-Fast</td><td class="num" style="color:var(--color-primary-700);">+395P</td>
charging.card.point.row.p5	charging	<td>2026.03.28</td><td><span class="chip chip-info">차감</span></td><td>포인트 결제 (차지비)</td><td class="num" style="color:var(--color-danger);">-3,000P</td>	<td>2026.03.28</td><td><span class="chip chip-info">Used</span></td><td>Point payment (ChargeBee)</td><td class="num" style="color:var(--color-danger);">-3,000P</td>
charging.card.point.row.p6	charging	<td>2026.03.15</td><td><span class="chip chip-warning">이벤트</span></td><td>신규가입 축하 포인트</td><td class="num" style="color:var(--color-primary-700);">+5,000P</td>	<td>2026.03.15</td><td><span class="chip chip-warning">Event</span></td><td>Sign-up bonus</td><td class="num" style="color:var(--color-primary-700);">+5,000P</td>
charging.card.point.tbl.balance	charging	잔액	Balance
charging.card.point.tbl.category	charging	구분	Category
charging.card.point.tbl.content	charging	내용	Description
charging.card.point.tbl.content2	charging	내용	Description
charging.card.point.tbl.empty	charging	조회 조건을 선택한 후 조회 버튼을 눌러주세요.	Select filter conditions and click Search.
charging.card.point.total.earn	charging	누적 적립	Total Earned
charging.card.row.h1	charging	<td>2026.04.22 08:15</td><td>GS칼텍스 강남</td><td>급속 100kW</td><td class="num">24.5kWh</td><td class="num">347원</td><td class="num">8,502원</td><td class="num">+170P</td>	<td>2026.04.22 08:15</td><td>GS Caltex Gangnam</td><td>100kW Fast</td><td class="num">24.5 kWh</td><td class="num">KRW 347</td><td class="num">KRW 8,502</td><td class="num">+170P</td>
charging.card.row.h2	charging	<td>2026.04.19 23:42</td><td>자택 (한전 심야)</td><td>완속 7kW</td><td class="num">32.8kWh</td><td class="num">72원</td><td class="num">2,362원</td><td class="num">+47P</td>	<td>2026.04.19 23:42</td><td>Home (KEPCO night)</td><td>7kW Slow</td><td class="num">32.8 kWh</td><td class="num">KRW 72</td><td class="num">KRW 2,362</td><td class="num">+47P</td>
charging.card.row.h3	charging	<td>2026.04.17 14:08</td><td>환경부 강남구청</td><td>급속 50kW</td><td class="num">18.2kWh</td><td class="num">347원</td><td class="num">6,315원</td><td class="num">+126P</td>	<td>2026.04.17 14:08</td><td>MCEE Gangnam-gu Office</td><td>50kW Fast</td><td class="num">18.2 kWh</td><td class="num">KRW 347</td><td class="num">KRW 6,315</td><td class="num">+126P</td>
charging.card.row.h4	charging	<td>2026.04.14 19:33</td><td>SK시그넷 대치</td><td>초급속 350kW</td><td class="num">45.6kWh</td><td class="num">433원</td><td class="num">19,744원</td><td class="num">+395P</td>	<td>2026.04.14 19:33</td><td>SK Signet Daechi</td><td>350kW Ultra-Fast</td><td class="num">45.6 kWh</td><td class="num">KRW 433</td><td class="num">KRW 19,744</td><td class="num">+395P</td>
charging.card.row.h5	charging	<td>2026.04.11 07:50</td><td>차지비 서초</td><td>완속 7kW</td><td class="num">28.3kWh</td><td class="num">238원</td><td class="num">6,735원</td><td class="num">+135P</td>	<td>2026.04.11 07:50</td><td>ChargeBee Seocho</td><td>7kW Slow</td><td class="num">28.3 kWh</td><td class="num">KRW 238</td><td class="num">KRW 6,735</td><td class="num">+135P</td>
charging.card.row.h6	charging	<td>2026.04.07 22:15</td><td>자택 (한전 심야)</td><td>완속 7kW</td><td class="num">30.2kWh</td><td class="num">72원</td><td class="num">2,174원</td><td class="num">+43P</td>	<td>2026.04.07 22:15</td><td>Home (KEPCO night)</td><td>7kW Slow</td><td class="num">30.2 kWh</td><td class="num">KRW 72</td><td class="num">KRW 2,174</td><td class="num">+43P</td>
charging.card.row.h7	charging	<td>2026.04.03 16:40</td><td>롯데월드몰 파워큐브</td><td>급속 100kW</td><td class="num">22.8kWh</td><td class="num">385원</td><td class="num">8,778원</td><td class="num">+176P</td>	<td>2026.04.03 16:40</td><td>Lotte World Mall PowerCube</td><td>100kW Fast</td><td class="num">22.8 kWh</td><td class="num">KRW 385</td><td class="num">KRW 8,778</td><td class="num">+176P</td>
charging.card.tab.apply	charging	회원카드 신청·발급조회	Apply / Check Card
charging.card.tab.edit	charging	카드 정보 수정	Edit Card Info
charging.card.tab.history	charging	이용요금·명세서 조회	Usage & Statements
charging.card.tab.point	charging	충전 포인트	Charging Points
charging.card.tbl.amount	charging	충전량	Volume
charging.card.tbl.cost	charging	금액	Amount
charging.card.tbl.datetime	charging	일시	Date/Time
charging.card.tbl.points	charging	포인트	Points
charging.card.tbl.station	charging	충전소	Station
charging.card.tbl.status	charging	상태	Status
charging.card.tbl.type	charging	유형	Type
charging.card.tbl.unitprice	charging	단가	Unit Price
charging.card.title	charging	충전 카드 관리	Charging Card Management
charging.card.user.name	charging	홍길동	Hong Gildong
charging.crumb.parent	charging	충전소·요금 정보	Charging & Fees
charging.fee.aria.keyword	charging	충전소명 또는 주소 검색어 입력	Enter station name or address keyword
charging.fee.aria.member	charging	회원 구분 선택	Select membership type
charging.fee.aria.menu	charging	요금 메뉴	Fee menu
charging.fee.aria.operator	charging	사업자 선택	Select operator
charging.fee.aria.sido	charging	시도 선택	Select province/city
charging.fee.aria.speed	charging	충전 속도 선택	Select charging speed
charging.fee.aria.tariff	charging	시간대별 충전요금 모달 열기	Open time-of-use fee modal
charging.fee.aria.tindex	charging	사업자별 운영 현황 모달 열기	Open operator status modal
charging.fee.btn.tariff	charging	시간대별 충전요금	Time-of-Use Fees
charging.fee.btn.tindex	charging	사업자별 운영 현황	Operator Operation Status
charging.fee.h2.aria.keyword	charging	충전소명 또는 주소 검색어 입력	Enter station name or address keyword
charging.fee.h2.aria.operator	charging	사업자 선택	Select operator
charging.fee.h2.aria.sido	charging	시도 선택	Select province/city
charging.fee.h2.aria.sigungu	charging	시군구 선택	Select district
charging.fee.h2.col.commercial	charging	상용 요금	Commercial Rate
charging.fee.h2.col.hours	charging	운영 시간	Operating Hours
charging.fee.h2.col.no	charging	번호	No.
charging.fee.h2.col.operator	charging	사업자	Operator
charging.fee.h2.col.passenger	charging	승용 요금	Passenger Rate
charging.fee.h2.col.spec	charging	규격	Specification
charging.fee.h2.col.station	charging	충전소명 / 주소	Station Name / Address
charging.fee.h2.col.status	charging	상태	Status
charging.fee.h2.compare.callout	charging	<strong>수소차는 가솔린 대비 약 32% 연료비 절감</strong> 1회 충전으로 약 600km 주행, 충전 시간은 5분 이내로 내연기관과 유사한 사용 경험을 제공합니다. 단, 충전소 인프라가 제한적이므로 사전 위치 확인이 필요합니다.	<strong>Hydrogen vehicles save approximately 32% on fuel costs versus gasoline.</strong> A single charge provides ~600 km range, with charging completed in under 5 minutes — comparable to internal-combustion vehicles. Note that charging infrastructure is limited, so confirming station locations in advance is recommended.
charging.fee.h2.compare.header	charging	<th>구분</th><th>연비/효율</th><th class="num">월 에너지 소모</th><th class="num">단가</th><th class="num">월 연료비</th><th class="num">연간 연료비</th><th>vs 가솔린</th>	<th>Category</th><th>Efficiency</th><th class="num">Monthly Energy Use</th><th class="num">Unit Price</th><th class="num">Monthly Fuel Cost</th><th class="num">Annual Fuel Cost</th><th>vs Gasoline</th>
charging.fee.h2.compare.row.diesel	charging	<td><strong>디젤 (싼타페)</strong></td><td>14km/L</td><td class="num">107L</td><td class="num">1,620원/L</td><td class="num">173,340원</td><td class="num">2,080,080원</td><td>-20% 절감</td>	<td><strong>Diesel (Santa Fe)</strong></td><td>14 km/L</td><td class="num">107 L</td><td class="num">1,620 KRW/L</td><td class="num">173,340 KRW</td><td class="num">2,080,080 KRW</td><td>-20% saved</td>
charging.fee.h2.compare.row.ev_home	charging	<td><strong>전기차 (자택 완속·심야)</strong></td><td>5.5km/kWh</td><td class="num">273kWh</td><td class="num">72원/kWh</td><td class="num" style="color:var(--color-primary-700);font-weight:700;">19,656원</td><td class="num" style="color:var(--color-primary-700);font-weight:700;">235,872원</td><td style="color:var(--color-primary-700);font-weight:700;">-91% 절감</td>	<td><strong>EV (Home Slow / Night)</strong></td><td>5.5 km/kWh</td><td class="num">273 kWh</td><td class="num">72 KRW/kWh</td><td class="num" style="color:var(--color-primary-700);font-weight:700;">19,656 KRW</td><td class="num" style="color:var(--color-primary-700);font-weight:700;">235,872 KRW</td><td style="color:var(--color-primary-700);font-weight:700;">-91% saved</td>
charging.fee.h2.compare.row.ev_public	charging	<td><strong>전기차 (공공 급속)</strong></td><td>5.5km/kWh</td><td class="num">273kWh</td><td class="num">324.4원/kWh</td><td class="num">88,561원</td><td class="num">1,062,732원</td><td>-59% 절감</td>	<td><strong>EV (Public Fast)</strong></td><td>5.5 km/kWh</td><td class="num">273 kWh</td><td class="num">324.4 KRW/kWh</td><td class="num">88,561 KRW</td><td class="num">1,062,732 KRW</td><td>-59% saved</td>
